Household_Size,Appliance_Count,Average_Temperature,Working_Hours,Solar_Usage,Electricity_Tariff,Day_Type,Previous_Consumption,Energy_Consumption
3,24,32.5,2,No,Medium,Weekend,32.47,38.59
3,12,-7.0,1,No,Medium,Weekday,23.8,30.94
1,15,9.2,6,No,Medium,Weekend,16.68,21.97
5,16,-6.2,2,Yes,High,Weekday,32.38,28.18
4,19,10.3,2,Yes,Medium,Weekday,15.01,13.29
2,9,16.4,1,No,Medium,Weekday,24.45,24.16
1,15,15.8,3,Yes,Medium,Weekday,11.05,11.32
1,9,0.3,7,No,Low,Weekday,16.06,24.34
6,19,21.9,11,No,High,Weekday,36.12,36.9
2,9,-5.1,0,No,Low,Weekday,17.99,25.74
6,16,27.3,0,No,Medium,Weekend,31.33,36.24
4,12,35.6,11,No,High,Weekday,24.18,29.59
1,12,8.4,4,Yes,Medium,Weekday,24.77,22.57
1,11,16.4,10,No,Medium,Weekday,19.29,24.48
5,16,10.3,4,No,Medium,Weekday,24.08,24.03
4,19,-6.4,10,No,High,Weekend,33.14,42.89
1,9,10.7,11,Yes,Medium,Weekday,20.25,20.4
4,10,29.0,0,Yes,High,Weekday,20.5,19.13
2,14,20.3,5,Yes,Low,Weekend,18.08,19.91
3,24,-1.9,0,No,Medium,Weekday,33.12,39.82
1,7,31.7,4,No,High,Weekday,24.76,28.28
5,18,17.5,8,No,Low,Weekday,27.87,32.55
2,6,31.6,11,Yes,Medium,Weekday,13.23,16.1
4,13,19.9,4,Yes,Low,Weekend,21.5,25.19
6,14,19.0,5,No,Medium,Weekend,21.69,27.48
2,7,-1.4,7,No,Medium,Weekend,31.56,42.04
1,5,1.5,10,Yes,Medium,Weekday,10.49,13.58
4,19,37.7,0,No,Low,Weekday,21.37,25.59
3,10,4.3,1,Yes,Low,Weekend,16.67,19.71
2,9,38.1,8,No,Low,Weekday,17.16,24.96
1,9,18.1,2,No,Medium,Weekday,23.95,21.97
5,10,0.4,5,Yes,Medium,Weekday,23.3,23.38
6,15,-1.2,4,Yes,High,Weekday,24.52,24.15
4,21,3.8,10,No,Medium,Weekday,26.67,32.76
2,14,36.1,1,Yes,Medium,Weekend,25.66,31.45
2,8,13.1,6,No,High,Weekend,19.1,21.63
3,16,12.4,3,No,Medium,Weekday,22.67,23.0
3,14,8.7,0,No,High,Weekday,22.64,21.4
5,24,1.3,12,No,Medium,Weekday,37.1,45.33
6,25,16.7,3,No,Low,Weekend,35.15,42.43
5,22,0.7,5,Yes,Low,Weekday,35.09,37.6
1,15,32.5,6,No,Medium,Weekend,19.71,28.07
1,6,11.6,6,No,Low,Weekday,10.23,13.78
5,22,11.9,6,No,Medium,Weekday,31.87,33.79
