Household_Size,Appliance_Count,Average_Temperature,Working_Hours,Solar_Usage,Electricity_Tariff,Day_Type,Previous_Consumption,Energy_Consumption,High_Usage,Efficiency_Category
1,24,15.48,1,0.44,4.61,Weekday,255.27,294.5,0,Low
2,5,26.92,0,0.59,4.53,Weekend,271.56,249.77,0,Low
2,7,32.19,6,0.59,3.38,Weekday,66.48,149.8,0,Low
6,10,33.07,10,0.07,3.12,Weekend,138.09,400.67,0,Medium
2,9,32.31,10,0.83,3.72,Weekday,422.03,367.43,0,Low
3,9,18.36,11,0.18,4.21,Weekend,423.85,382.01,0,Low
5,5,22.48,7,0.72,6.02,Weekday,181.59,234.32,0,Low
5,21,23.97,5,0.77,6.57,Weekend,443.7,472.08,1,Medium
1,23,35.11,3,0.71,3.98,Weekday,397.3,348.77,0,Low
6,18,21.97,5,0.58,5.97,Weekday,238.06,384.55,0,Low
1,16,20.27,2,0.01,5.39,Weekday,386.78,378.13,0,Low
2,14,38.94,11,0.36,4.28,Weekday,482.6,486.3,1,Medium
1,24,15.22,7,0.6,3.05,Weekend,256.54,284.56,0,Low
3,22,39.95,9,0.39,6.27,Weekday,157.29,404.9,1,Medium
5,15,31.92,1,0.86,7.8,Weekend,473.82,468.03,1,Medium
2,6,35.71,4,0.31,4.58,Weekday,321.68,310.67,0,Low
1,22,22.37,0,0.29,3.92,Weekend,97.37,229.04,0,Low
6,11,15.36,5,0.27,9.21,Weekday,307.71,405.42,1,Medium
3,19,33.45,1,0.33,4.93,Weekday,275.26,348.28,0,Low
3,15,35.85,3,0.56,4.57,Weekend,435.02,420.92,1,Medium
1,22,33.51,5,0.71,9.0,Weekday,288.81,344.01,0,Low
5,16,18.57,9,0.66,8.72,Weekday,164.85,247.84,0,Low
1,10,33.84,10,0.81,6.14,Weekend,354.04,324.11,0,Low
2,24,34.22,7,0.89,6.42,Weekday,294.16,326.97,0,Low
1,17,31.46,11,0.82,4.52,Weekend,154.87,242.66,0,Low
3,24,34.15,7,0.02,3.55,Weekday,308.13,485.4,1,Medium
1,20,36.15,10,0.74,7.01,Weekend,419.69,356.51,0,Low
5,22,30.34,5,0.21,3.69,Weekend,62.86,347.17,0,Low
6,14,17.22,3,0.13,6.14,Weekend,333.88,448.37,1,Medium
4,12,27.19,7,0.64,9.58,Weekend,207.31,278.56,0,Low
1,22,16.94,7,0.32,9.67,Weekday,181.7,279.2,0,Low
5,5,25.19,9,0.06,4.68,Weekday,226.66,370.61,0,Low
5,12,25.18,0,0.14,7.37,Weekend,203.91,291.64,0,Low
6,10,16.65,3,0.0,6.32,Weekday,424.51,459.35,1,Medium
3,9,23.72,3,0.9,9.13,Weekday,173.66,205.47,0,Low
5,19,17.77,6,0.02,4.9,Weekday,379.92,473.04,1,Medium
5,19,35.21,10,0.21,3.03,Weekend,92.33,367.53,0,Low
5,6,38.69,6,0.42,4.14,Weekday,478.13,447.13,1,Medium
5,5,16.81,10,0.36,5.45,Weekday,330.04,372.28,0,Low
2,15,38.88,7,0.91,5.21,Weekend,368.02,353.34,0,Low
2,14,28.06,10,0.04,8.54,Weekday,184.12,304.16,0,Low
3,22,22.49,4,0.51,7.76,Weekend,235.44,313.83,0,Low
1,22,16.92,6,0.68,5.1,Weekend,150.7,219.48,0,Low
5,21,27.52,7,0.93,6.2,Weekend,469.64,426.16,1,Medium
6,12,34.86,8,0.62,3.67,Weekday,269.65,389.76,0,Low
1,19,32.68,2,0.8,9.29,Weekday,333.7,299.55,0,Low
6,12,16.26,2,0.08,9.55,Weekend,380.42,445.71,1,Medium
1,21,16.82,3,0.39,9.86,Weekend,217.0,219.46,0,Low
3,16,25.07,4,0.37,9.08,Weekend,374.05,400.01,0,Medium
5,12,22.38,9,0.89,4.22,Weekend,354.2,379.58,0,Low
5,18,20.81,0,0.15,3.32,Weekend,367.55,384.46,0,Low
4,8,22.03,6,0.15,7.06,Weekend,270.15,295.82,0,Low
6,5,35.09,8,0.33,9.39,Weekday,222.32,396.15,0,Low
1,5,38.23,7,0.05,4.24,Weekend,149.94,239.57,0,Low
1,23,25.13,4,0.18,3.05,Weekend,421.08,480.83,1,Medium
2,20,37.65,3,0.97,8.64,Weekend,323.76,293.71,0,Low
4,18,23.04,11,0.43,3.54,Weekday,249.96,368.5,0,Low
2,20,26.91,6,0.63,5.9,Weekday,474.8,418.66,1,Medium
2,9,20.65,4,0.73,7.75,Weekday,71.53,121.55,0,Low
2,13,31.01,6,0.37,4.66,Weekday,432.58,410.58,1,Medium
6,6,39.47,11,0.15,3.59,Weekend,498.91,557.28,1,Medium
6,22,30.09,0,0.21,8.39,Weekday,449.12,520.48,1,Medium
3,10,23.95,0,0.31,7.41,Weekend,414.7,337.92,0,Low
3,13,31.2,9,0.64,9.92,Weekend,218.44,320.78,0,Low
2,5,18.07,2,0.4,5.41,Weekend,154.09,176.82,0,Low
4,13,37.22,10,0.01,3.43,Weekend,380.68,488.29,1,Medium
1,20,27.58,1,0.52,8.14,Weekend,187.06,260.2,0,Low
6,17,26.23,1,0.92,6.65,Weekend,129.22,275.68,0,Low
4,13,29.65,6,0.81,4.49,Weekday,403.94,363.69,0,Low
5,17,30.62,11,0.83,8.47,Weekday,190.64,344.39,0,Low
6,13,16.79,9,0.8,4.43,Weekday,461.5,411.06,1,Medium
6,15,32.07,1,0.32,4.82,Weekday,428.28,493.39,1,Medium
3,8,21.05,10,0.77,3.65,Weekday,431.44,338.02,0,Low
1,6,32.85,3,0.14,5.8,Weekend,397.21,357.39,0,Low
1,10,35.56,1,0.66,5.93,Weekday,446.4,329.2,0,Low
5,18,35.1,5,0.64,6.6,Weekday,412.59,470.87,1,Medium
5,8,28.81,7,0.03,7.96,Weekday,321.13,392.42,0,Low
6,10,28.0,9,0.79,9.34,Weekend,183.12,303.28,0,Low
2,23,18.57,3,0.9,3.96,Weekend,449.69,377.17,0,Low
3,10,34.38,4,0.27,3.38,Weekend,428.27,425.62,1,Medium
3,6,21.79,3,0.81,3.13,Weekday,262.8,221.61,0,Low
6,22,27.42,2,0.08,4.01,Weekday,67.59,382.13,0,Low
4,17,22.11,4,0.6,7.61,Weekday,337.34,376.47,0,Low
2,13,18.35,8,0.49,8.09,Weekday,72.77,196.55,0,Low
6,23,30.74,7,0.55,8.51,Weekday,466.83,546.8,1,Medium
2,17,16.36,7,0.93,4.71,Weekend,482.73,366.1,0,Low
2,15,33.72,7,0.87,5.14,Weekday,135.27,257.94,0,Low
2,5,22.94,11,0.79,6.38,Weekend,354.38,267.66,0,Low
6,11,15.0,7,0.27,3.44,Weekday,91.52,286.95,0,Low
3,19,27.78,6,0.91,7.28,Weekend,378.28,367.61,0,Low
3,5,16.17,7,0.1,9.89,Weekend,206.28,246.99,0,Low
2,16,21.9,10,0.85,5.53,Weekend,356.47,316.94,0,Low
4,11,32.67,7,0.33,8.27,Weekend,217.79,341.29,0,Low
1,19,16.57,7,0.05,6.5,Weekday,115.51,228.27,0,Low
6,23,35.98,11,0.67,3.89,Weekday,232.75,453.6,1,Medium
1,5,15.1,9,0.23,7.08,Weekday,100.7,151.59,0,Low
4,21,21.17,6,0.24,5.1,Weekend,309.6,405.01,1,Medium
6,21,33.52,11,0.31,3.24,Weekday,68.43,399.92,0,Low
2,7,22.91,0,0.06,7.44,Weekday,287.29,283.97,0,Low
3,16,17.55,3,0.18,9.01,Weekday,448.87,442.14,1,Medium
1,10,24.01,3,0.01,5.41,Weekday,427.04,356.05,0,Low
5,15,21.76,4,0.45,5.73,Weekend,447.25,412.96,1,Medium
5,7,36.07,9,0.08,9.24,Weekend,464.92,497.87,1,Medium
4,12,22.83,5,0.68,8.7,Weekday,97.04,152.72,0,Low
2,18,34.72,3,0.24,8.0,Weekday,107.94,294.25,0,Low
1,18,37.3,1,0.94,4.74,Weekday,300.65,261.45,0,Low
2,14,25.85,5,0.87,9.37,Weekend,452.29,334.34,0,Low
1,6,37.75,7,0.29,4.08,Weekend,488.46,420.81,1,Medium
4,18,24.43,7,0.78,7.39,Weekend,70.82,231.08,0,Low
4,13,39.1,6,0.8,3.2,Weekday,210.1,302.54,0,Low
5,7,17.23,5,0.99,7.51,Weekend,145.8,139.86,0,Low
2,12,32.18,1,0.6,4.94,Weekend,390.18,361.65,0,Low
6,20,27.35,6,0.08,6.15,Weekend,338.09,501.56,1,Medium
5,6,24.69,10,0.65,5.42,Weekend,103.95,272.16,0,Low
2,10,30.82,11,0.62,4.21,Weekend,267.58,286.32,0,Low
5,16,32.6,4,0.64,7.35,Weekday,358.45,379.94,0,Low
6,9,15.11,5,0.31,9.17,Weekday,400.55,419.5,1,Medium
3,6,19.17,9,0.86,9.71,Weekday,59.02,123.26,0,Low
3,20,32.83,7,0.96,4.35,Weekday,450.71,428.41,1,Medium
3,9,31.66,7,0.22,8.02,Weekend,306.18,391.47,0,Low
3,19,39.15,2,0.09,7.65,Weekday,415.36,486.89,1,Medium
1,16,34.03,11,0.19,5.4,Weekday,413.57,437.22,1,Medium
3,8,38.77,11,0.82,3.13,Weekday,135.43,250.63,0,Low
6,19,32.56,6,0.68,7.83,Weekend,99.58,285.73,0,Low
4,15,22.45,0,0.64,9.62,Weekday,374.58,367.8,0,Low
4,20,17.63,0,0.4,7.42,Weekend,120.39,276.53,0,Low
1,10,34.55,6,0.58,6.05,Weekend,432.47,366.5,0,Low
3,18,31.1,9,0.31,6.68,Weekend,376.79,406.39,1,Medium
3,22,16.2,8,0.48,4.4,Weekday,428.82,414.59,1,Medium
3,16,24.0,6,0.79,8.25,Weekend,184.56,278.05,0,Low
5,15,38.92,9,0.98,8.22,Weekday,192.47,314.68,0,Low
2,17,27.51,4,0.93,4.02,Weekday,352.05,330.24,0,Low
5,15,25.82,7,0.93,9.15,Weekday,64.15,220.64,0,Low
2,20,26.44,1,0.4,4.88,Weekend,376.92,386.03,0,Low
3,19,20.22,8,0.47,9.88,Weekend,426.1,405.47,1,Medium
3,19,24.22,5,0.71,5.68,Weekday,236.82,296.76,0,Low
5,8,24.25,8,0.92,4.25,Weekend,394.2,358.58,0,Low
5,15,16.31,1,0.14,5.46,Weekend,128.57,256.55,0,Low
2,23,34.19,2,0.3,6.08,Weekend,195.02,338.56,0,Low
4,19,25.41,11,0.14,3.49,Weekday,488.44,471.68,1,Medium
2,8,35.55,7,0.61,7.05,Weekend,493.85,388.54,0,Low
5,17,36.26,0,0.31,7.18,Weekend,280.67,413.99,1,Medium
6,23,20.3,9,0.33,8.17,Weekday,470.42,556.52,1,Medium
5,6,31.43,6,0.07,3.2,Weekend,285.23,393.36,0,Low
6,18,26.81,6,0.35,6.79,Weekday,181.21,342.23,0,Low
1,8,37.0,0,0.86,3.37,Weekend,170.1,190.71,0,Low
5,20,20.39,8,0.23,7.91,Weekend,468.28,481.53,1,Medium
1,24,31.95,7,0.7,3.39,Weekend,127.6,269.93,0,Low
4,18,30.19,3,0.63,9.38,Weekend,310.83,342.87,0,Low
2,19,22.38,9,0.86,7.91,Weekend,299.99,286.67,0,Low
6,7,18.42,10,0.13,6.55,Weekend,382.83,409.55,1,Medium
2,12,31.29,4,0.98,6.09,Weekday,274.66,251.98,0,Low
1,20,33.46,1,0.58,3.91,Weekend,172.53,248.73,0,Low
6,14,22.89,8,1.0,5.04,Weekend,126.23,263.96,0,Low
2,8,31.12,11,0.91,9.08,Weekend,329.37,290.67,0,Low
5,22,24.88,11,0.22,9.33,Weekday,373.55,463.06,1,Medium
3,6,32.83,5,0.06,3.01,Weekday,306.28,361.15,0,Low
1,21,19.98,2,0.26,7.16,Weekday,382.26,322.83,0,Low
2,17,37.26,11,0.53,8.04,Weekend,113.68,266.94,0,Low
1,8,22.19,6,0.17,7.33,Weekend,447.11,349.85,0,Low
1,15,24.19,8,0.17,3.57,Weekday,312.08,329.95,0,Low
6,11,16.45,2,0.46,4.52,Weekday,107.08,206.94,0,Low
6,16,17.79,1,0.03,4.75,Weekday,257.87,410.73,1,Medium
3,14,27.9,6,0.12,8.82,Weekend,430.16,473.74,1,Medium
5,11,21.69,6,0.42,6.24,Weekday,453.9,474.04,1,Medium
1,17,35.89,3,0.06,6.41,Weekend,169.09,326.17,0,Low
2,11,15.37,10,0.4,9.54,Weekend,370.07,318.24,0,Low
4,21,24.48,8,0.47,7.46,Weekend,94.99,282.68,0,Low
1,14,23.43,7,0.45,9.29,Weekday,65.1,166.48,0,Low
1,14,15.48,0,0.87,6.2,Weekend,302.18,240.24,0,Low
3,8,18.11,0,0.53,4.05,Weekday,362.67,280.35,0,Low
5,24,25.34,4,0.47,9.51,Weekday,408.1,494.45,1,Medium
4,8,27.32,5,0.41,6.21,Weekday,203.1,306.34,0,Low
6,11,25.11,2,0.82,4.27,Weekday,52.94,206.59,0,Low
6,5,28.27,8,0.9,5.12,Weekend,265.78,275.67,0,Low
2,16,29.88,11,0.85,3.36,Weekend,57.13,195.33,0,Low
4,17,15.25,9,0.67,6.28,Weekend,91.39,228.38,0,Low
6,14,26.6,5,0.14,8.97,Weekend,197.01,399.86,0,Low
2,19,39.09,3,0.28,9.54,Weekday,246.73,360.02,0,Low
5,17,27.98,11,0.05,9.53,Weekday,175.76,371.65,0,Low
2,13,31.94,6,0.93,3.88,Weekday,311.84,307.5,0,Low
6,13,22.8,7,0.66,5.67,Weekday,74.91,248.3,0,Low
3,19,34.35,8,0.75,3.2,Weekend,115.06,221.68,0,Low
3,14,34.32,10,0.31,8.99,Weekday,362.87,429.89,1,Medium
3,14,28.03,5,0.85,5.51,Weekend,113.96,216.09,0,Low
6,12,39.4,5,0.26,7.42,Weekday,337.9,444.29,1,Medium
3,20,18.14,7,0.0,8.0,Weekday,74.61,275.88,0,Low
4,21,15.42,11,0.38,6.01,Weekday,233.32,367.07,0,Low
5,9,34.25,4,0.57,5.15,Weekday,129.83,278.3,0,Low
2,8,35.18,2,0.48,9.74,Weekend,99.34,163.96,0,Low
2,22,18.01,11,0.86,9.75,Weekend,305.16,339.68,0,Low
6,23,21.64,2,0.11,5.03,Weekend,467.75,564.92,1,Medium
3,8,15.44,5,0.55,6.36,Weekend,74.65,138.44,0,Low
3,11,22.33,1,0.51,9.81,Weekday,239.7,216.64,0,Low
1,14,34.33,5,0.28,3.03,Weekday,368.39,384.61,0,Low
5,22,27.95,5,0.82,5.89,Weekend,258.21,347.49,0,Low
4,23,23.7,7,0.75,3.7,Weekend,412.92,436.27,1,Medium
2,8,24.29,6,0.73,6.56,Weekday,130.84,213.33,0,Low
1,14,15.03,7,0.88,3.17,Weekday,481.82,285.07,0,Low
1,5,22.5,8,0.72,5.85,Weekend,223.32,168.23,0,Low
6,22,31.16,5,0.23,4.54,Weekend,203.71,418.45,1,Medium
2,9,39.35,2,0.71,6.73,Weekend,443.57,387.67,0,Low
6,19,36.18,9,0.31,9.97,Weekday,303.74,551.52,1,Medium
4,21,15.59,2,0.24,8.6,Weekend,282.4,361.91,0,Low
1,7,37.46,10,0.07,8.92,Weekend,377.14,356.31,0,Low
1,16,34.58,11,0.74,7.45,Weekend,310.93,322.29,0,Low
5,6,34.51,0,0.71,3.29,Weekend,123.13,208.6,0,Low
4,5,26.45,10,0.23,4.45,Weekend,353.39,392.48,0,Low
1,21,24.95,4,0.75,9.48,Weekday,110.06,203.42,0,Low
4,20,22.57,3,0.92,5.56,Weekend,412.64,353.19,0,Low
2,9,16.64,8,0.11,3.73,Weekday,495.38,386.94,0,Low
3,19,20.71,8,0.23,7.92,Weekend,219.82,328.84,0,Low
1,7,21.17,4,0.75,5.1,Weekend,250.14,179.79,0,Low
5,11,27.1,9,0.27,4.88,Weekend,70.9,279.91,0,Low
2,15,33.69,3,0.62,9.99,Weekday,56.18,195.14,0,Low
4,14,26.85,6,0.08,9.01,Weekday,464.64,503.57,1,Medium
6,13,16.45,5,0.45,5.86,Weekday,107.88,255.37,0,Low
2,18,38.94,3,0.74,9.86,Weekend,250.6,299.25,0,Low
1,17,38.57,9,0.69,7.55,Weekend,416.91,369.39,0,Low
4,6,34.63,1,0.82,8.19,Weekday,450.19,356.51,0,Low
3,7,39.78,0,0.88,3.22,Weekday,283.73,273.33,0,Low
2,11,28.61,3,0.77,3.85,Weekend,304.26,233.48,0,Low
1,22,39.07,3,0.67,7.43,Weekday,351.36,361.04,0,Low
5,7,16.89,0,0.03,9.29,Weekend,482.62,447.19,1,Medium
6,14,24.14,5,0.53,7.37,Weekday,321.2,402.99,0,Medium
4,11,20.63,3,0.04,3.94,Weekday,301.76,363.24,0,Low
2,13,19.9,0,0.81,3.81,Weekday,56.54,124.39,0,Low
2,21,18.52,0,0.32,8.91,Weekend,86.43,200.3,0,Low
3,15,30.56,0,0.56,3.98,Weekend,309.73,311.41,0,Low
3,11,34.53,7,0.28,6.64,Weekday,471.31,479.68,1,Medium
5,18,29.46,9,0.78,3.26,Weekend,440.01,472.96,1,Medium
6,23,18.67,7,0.89,3.56,Weekend,492.16,461.16,1,Medium
5,8,35.28,1,0.4,7.71,Weekend,287.53,316.03,0,Low
1,10,30.9,10,0.86,7.82,Weekend,404.57,304.47,0,Low
1,14,24.7,6,0.27,5.39,Weekday,428.18,386.06,0,Low
5,11,31.85,7,0.53,4.51,Weekend,341.61,383.19,0,Low
6,17,21.5,7,0.86,8.7,Weekend,202.44,319.32,0,Low
5,18,23.63,10,0.33,4.52,Weekday,261.49,427.03,1,Medium
6,8,37.94,9,0.95,6.79,Weekend,436.06,430.99,1,Medium
6,12,22.26,10,0.12,9.78,Weekend,184.35,371.63,0,Low
4,9,26.75,6,0.02,4.03,Weekend,465.68,473.79,1,Medium
6,5,37.25,4,0.9,9.59,Weekday,153.41,237.81,0,Low
3,8,32.69,0,0.07,4.28,Weekday,387.28,369.25,0,Low
6,7,16.56,11,0.99,6.97,Weekend,333.75,331.08,0,Low
6,13,18.68,8,0.95,5.64,Weekend,387.32,372.44,0,Low
6,12,15.2,6,0.14,9.75,Weekday,246.81,361.44,0,Low
1,5,30.77,1,0.54,4.91,Weekday,469.69,322.82,0,Low
3,10,26.19,5,0.18,5.8,Weekday,334.61,377.44,0,Low
3,13,18.36,1,0.43,9.88,Weekend,179.73,239.66,0,Low
5,11,38.95,0,0.06,6.76,Weekend,337.3,443.48,1,Medium
4,8,28.24,6,0.22,6.52,Weekday,179.07,320.7,0,Low
6,17,21.05,1,0.36,4.8,Weekend,182.13,359.35,0,Low
2,21,27.52,1,0.44,7.91,Weekend,229.82,347.34,0,Low
4,6,31.99,10,0.98,3.1,Weekend,433.59,353.18,0,Low
4,9,16.91,4,0.81,3.35,Weekend,275.13,297.68,0,Low
3,16,21.87,4,0.74,7.2,Weekend,355.51,303.43,0,Low
4,12,35.17,6,0.54,5.39,Weekend,226.39,367.41,0,Low
6,10,26.49,0,0.84,9.67,Weekend,168.62,237.1,0,Low
6,12,28.66,7,0.34,9.32,Weekday,479.59,498.4,1,Medium
1,22,25.82,2,0.71,8.0,Weekday,321.61,305.64,0,Low
6,7,16.1,3,0.99,8.73,Weekday,470.28,334.1,0,Low
6,16,19.14,8,0.31,7.67,Weekday,141.54,330.92,0,Low
3,7,26.14,3,0.67,3.88,Weekday,116.1,160.16,0,Low
6,10,20.23,9,0.84,8.36,Weekday,435.12,375.55,0,Low
1,6,16.25,11,0.92,4.47,Weekday,356.41,228.18,0,Low
2,16,36.09,4,0.72,5.26,Weekday,133.96,271.05,0,Low
3,6,39.53,6,0.28,8.73,Weekday,171.21,285.11,0,Low
2,10,34.83,3,0.33,6.76,Weekend,410.3,397.46,0,Low
3,21,36.34,0,0.02,9.02,Weekend,254.24,382.23,0,Low
5,7,21.05,8,0.76,4.49,Weekday,351.74,304.35,0,Low
4,6,39.02,3,0.04,7.25,Weekend,193.26,340.77,0,Low
5,24,19.92,8,0.86,3.59,Weekend,221.55,371.65,0,Low
6,12,38.79,5,0.12,7.5,Weekday,495.82,556.46,1,Medium
2,16,39.87,0,0.17,8.34,Weekday,161.43,319.86,0,Low
6,8,32.79,11,0.48,7.09,Weekday,277.91,423.23,1,Medium
4,9,39.53,2,0.74,4.86,Weekend,429.98,391.85,0,Low
3,17,29.24,10,0.14,3.22,Weekend,157.65,334.5,0,Low
4,19,21.49,1,0.44,3.84,Weekday,236.85,327.34,0,Low
1,20,25.92,8,0.48,7.36,Weekend,326.79,358.16,0,Low
4,14,29.84,11,0.21,9.54,Weekend,266.53,367.81,0,Low
1,20,16.83,0,0.12,4.45,Weekend,256.78,292.79,0,Low
4,16,30.56,8,0.84,8.15,Weekday,213.13,306.23,0,Low
1,21,39.53,8,0.5,9.07,Weekend,313.99,366.79,0,Low
2,20,19.75,7,0.01,6.65,Weekend,330.97,390.34,0,Low
6,16,34.81,7,0.8,7.68,Weekend,343.98,401.11,0,Medium
6,12,37.7,10,0.98,8.71,Weekend,81.67,245.72,0,Low
5,24,38.59,11,0.61,4.82,Weekend,333.97,487.09,1,Medium
6,7,39.0,0,0.5,5.08,Weekend,478.96,479.52,1,Medium
3,20,28.04,10,0.88,3.0,Weekend,293.44,335.89,0,Low
4,17,39.43,7,0.95,9.74,Weekday,371.87,383.01,0,Low
5,23,33.93,9,0.75,9.42,Weekday,300.53,411.95,1,Medium
3,12,19.04,2,0.45,8.35,Weekend,434.63,368.41,0,Low
3,9,26.92,10,0.59,3.55,Weekday,468.31,434.26,1,Medium
1,24,32.96,6,0.7,6.13,Weekend,132.9,274.74,0,Low
6,12,21.18,10,0.19,3.71,Weekend,246.59,413.85,1,Medium
2,16,31.02,0,0.45,3.11,Weekend,226.57,260.39,0,Low
2,5,31.67,0,0.83,7.31,Weekday,232.35,191.71,0,Low
5,24,19.07,9,0.65,9.73,Weekend,106.49,321.83,0,Low
2,10,29.13,4,0.41,9.32,Weekend,416.13,332.47,0,Low
4,22,34.29,4,0.66,7.88,Weekday,66.09,262.75,0,Low
2,12,27.47,7,0.12,3.68,Weekday,287.7,361.1,0,Low
5,11,15.3,6,0.4,4.92,Weekend,347.85,363.99,0,Low
2,5,15.23,7,0.79,5.24,Weekday,143.36,112.07,0,Low
4,20,23.93,5,0.22,8.34,Weekday,457.63,445.99,1,Medium
1,16,38.15,5,0.19,8.62,Weekend,427.35,455.87,1,Medium
5,10,20.72,1,0.95,5.7,Weekend,261.99,211.09,0,Low
1,24,30.86,5,0.21,5.93,Weekend,235.02,361.74,0,Low
1,6,20.55,4,0.26,3.31,Weekday,156.46,169.22,0,Low
1,18,23.04,2,0.97,5.02,Weekday,378.5,300.31,0,Low
3,8,36.2,5,0.73,6.16,Weekday,109.28,189.4,0,Low
6,5,33.22,7,0.7,3.82,Weekend,356.11,433.01,1,Medium
3,22,17.38,8,0.85,6.17,Weekday,429.11,391.74,0,Low
6,17,25.72,0,0.12,8.97,Weekday,152.81,357.91,0,Low
1,6,15.73,2,0.71,7.07,Weekend,439.89,238.67,0,Low
5,13,27.02,2,0.5,3.55,Weekend,65.0,233.89,0,Low
6,6,31.56,10,0.83,4.34,Weekend,460.75,429.91,1,Medium
4,13,17.96,7,0.51,6.32,Weekday,103.26,263.43,0,Low
4,5,22.22,0,0.62,5.53,Weekend,340.59,287.97,0,Low
2,15,24.95,4,0.48,5.51,Weekday,162.54,250.0,0,Low
6,7,37.99,2,0.48,6.7,Weekday,426.45,452.85,1,Medium
5,24,39.83,1,0.77,7.09,Weekend,280.54,419.33,1,Medium
3,8,16.12,7,0.63,8.58,Weekend,110.86,141.0,0,Low
1,22,34.03,2,0.63,5.39,Weekend,306.95,371.55,0,Low
2,10,24.29,6,0.45,8.64,Weekend,233.55,241.1,0,Low
4,7,24.81,11,0.53,5.37,Weekend,347.65,353.49,0,Low
3,15,33.86,10,0.75,3.39,Weekday,446.86,455.64,1,Medium
3,19,37.96,0,0.83,6.88,Weekday,234.23,341.69,0,Low
1,9,38.77,5,0.7,7.12,Weekday,180.45,237.65,0,Low
6,24,29.43,2,0.92,9.54,Weekend,56.53,262.46,0,Low
4,14,23.93,7,0.82,8.08,Weekday,308.68,324.68,0,Low
5,16,34.69,5,0.56,9.42,Weekend,231.02,366.92,0,Low
3,19,21.28,11,0.67,9.36,Weekend,218.59,309.18,0,Low
1,21,29.1,1,0.93,7.23,Weekday,132.32,164.86,0,Low
5,14,23.96,5,0.62,6.69,Weekday,243.52,346.84,0,Low
6,10,31.42,6,0.82,6.9,Weekend,493.0,455.45,1,Medium
4,22,21.01,4,0.69,9.85,Weekday,183.99,277.58,0,Low
6,17,19.79,2,0.55,8.41,Weekend,319.87,367.34,0,Low
3,7,37.96,3,0.24,3.74,Weekday,399.42,401.99,0,Medium
5,14,17.55,3,0.43,8.45,Weekday,387.12,357.15,0,Low
5,18,27.65,5,0.97,4.19,Weekday,197.95,312.49,0,Low
5,10,20.52,9,0.66,6.13,Weekday,324.89,348.7,0,Low
3,7,15.97,0,0.56,4.47,Weekday,442.07,339.26,0,Low
3,20,15.9,10,0.93,7.83,Weekend,56.95,184.73,0,Low
6,11,19.38,3,0.59,9.14,Weekday,246.08,287.47,0,Low
2,24,36.67,9,0.53,5.03,Weekday,150.92,304.51,0,Low
6,18,22.06,3,0.76,3.57,Weekday,224.88,316.81,0,Low
4,13,38.76,9,0.71,5.09,Weekend,237.2,339.18,0,Low
1,19,29.54,0,0.19,7.71,Weekend,386.0,366.27,0,Low
5,7,25.92,8,0.47,5.3,Weekend,92.22,246.44,0,Low
2,6,29.5,3,0.47,4.95,Weekend,280.66,251.98,0,Low
1,6,27.92,6,0.38,4.29,Weekend,303.89,276.79,0,Low
2,7,33.97,11,0.52,6.48,Weekday,272.37,294.68,0,Low
6,22,22.06,2,0.41,4.93,Weekday,379.34,465.48,1,Medium
3,18,23.83,9,0.2,8.12,Weekday,222.71,342.64,0,Low
5,24,37.35,11,0.41,3.54,Weekend,475.24,597.59,1,Medium
6,22,38.66,2,0.07,7.65,Weekend,266.81,493.43,1,Medium
1,14,37.31,7,0.58,4.66,Weekday,307.05,329.33,0,Low
1,6,25.49,7,0.85,6.42,Weekend,421.49,276.06,0,Low
1,5,34.51,10,0.73,5.0,Weekend,173.86,172.08,0,Low
1,8,26.91,11,0.36,8.06,Weekend,83.84,218.92,0,Low
1,18,27.44,0,0.09,9.62,Weekday,368.5,353.95,0,Low
2,5,20.12,9,0.2,9.42,Weekday,267.36,276.85,0,Low
6,18,29.78,1,0.55,7.08,Weekend,453.43,481.93,1,Medium
5,20,19.65,7,0.21,6.24,Weekend,492.21,508.38,1,Medium
3,18,23.29,0,0.54,8.73,Weekend,229.6,307.76,0,Low
3,24,36.38,11,0.23,7.78,Weekend,236.95,404.19,1,Medium
6,7,20.18,7,0.85,4.28,Weekday,233.58,310.01,0,Low
6,7,16.78,7,0.4,8.75,Weekend,196.05,304.8,0,Low
3,13,16.73,1,0.25,6.0,Weekday,401.76,350.14,0,Low
3,10,38.52,3,0.81,4.32,Weekday,391.55,347.63,0,Low
2,17,27.67,5,0.34,4.97,Weekday,265.39,282.37,0,Low
4,6,25.24,11,0.11,4.87,Weekend,70.1,236.81,0,Low
5,12,35.27,10,0.57,6.63,Weekday,189.3,336.38,0,Low
1,6,35.9,8,0.58,4.64,Weekday,181.54,225.99,0,Low
4,8,23.3,7,0.71,3.86,Weekend,414.99,379.59,0,Low
6,19,32.34,11,0.24,3.87,Weekend,89.41,417.48,1,Medium
3,8,34.28,7,0.44,7.08,Weekend,412.55,398.56,0,Low
4,17,31.37,6,0.28,8.14,Weekday,351.13,434.79,1,Medium
5,16,18.79,8,0.08,5.25,Weekend,379.6,440.36,1,Medium
6,17,36.9,1,0.88,3.24,Weekday,244.5,319.65,0,Low
1,18,28.48,2,0.73,3.89,Weekday,355.88,296.26,0,Low
1,24,22.06,9,0.3,9.4,Weekend,324.06,370.1,0,Low
5,22,25.63,7,0.6,6.45,Weekday,396.04,472.42,1,Medium
